review_text,star_rating,date,app_version,sentiment,primary_theme,secondary_theme,summary
جائزة التسجيل وهمية، أزلت التطبيق مباشرتاً بعد التثبيت.,1,2026-05-08,,Negative,Other,,"User dissatisfied, mentions other"
كتجربه اولى كانت سيئه الاكل وصل وفي شعره و حاولت اتصل على الخط الساخن محد رد و لما كلمت الدعم محد فادني.تجرب سيئه وما حعيدها ابدا,1,2026-05-08,13.55.0,Negative,Other,Order Accuracy,"User dissatisfied, mentions other"
"scam , fake ratings , dynamic pricing and much much more",1,2026-05-08,13.48.2,Negative,Other,,"User dissatisfied, mentions other"
I had bad experience in redeeming the voucher. It will show 60qr referral voucher.But for me or my friends couldn't redeem it,1,2026-05-08,13.55.0,Negative,Other,,"User dissatisfied, mentions other"
"After cancelling the communication with the customer service directly, Talabat is trying to scam customers. they made unauthorized transactions on my card and I can not even complain. I don't believe that this platform doesn't understand that their success is basically bassed on customer service, I think we should find alternatives and support them to shake Talabat from their Throne so they may wake up. ⚠️ WARNIN 7 /5/2026 company continued charging me even after removing my card from app!!!!",1,2026-05-08,13.55.0,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
the delivery fee are rising and the time of the delivery is getting longer,2,2026-05-08,13.56.0,Neutral,Delivery Speed,,User left mixed or neutral feedback
not sure now,5,2026-05-08,9.9.6,Positive,Other,App UX / Navigation,User satisfied with the service
they are so late and the driver did not catch the call,1,2026-05-08,,Negative,Delivery Speed,,User frustrated with slow delivery times
very nice app,4,2026-05-08,13.55.0,Neutral,App UX / Navigation,Other,User has mixed feelings about app navigation
Delivery charges are very high and often shows fake discounts when you confirm the orders the discounts disappears and you have to pay the full.,1,2026-05-08,,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
fast and east,5,2026-05-08,13.56.0,Neutral,Delivery Speed,,User left mixed or neutral feedback
so many extra fees on every order,1,2026-05-08,13.55.0,Negative,Order Accuracy,,User received wrong or missing items in order
very good service 👏,5,2026-05-08,13.52.0,Positive,Customer Support,Restaurant Selection,User satisfied with the service
Always a reliable way to get what you need while traveling!,5,2026-05-08,13.56.0,Positive,Other,Payment Issues,User satisfied with the service
very good Service❤️🙏,4,2026-05-08,13.55.0,Neutral,Customer Support,,User left mixed or neutral feedback
"Such a stupid application, got scammed and can't even reach the customer support",1,2026-05-08,,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
اسعارهم غاليه اوي كل حاجه ضعف ١٥٠٪,1,2026-05-08,,Negative,Other,,"User dissatisfied, mentions other"
I like it simple to use on time delivery,5,2026-05-08,,Neutral,Delivery ETA Accuracy,,User left mixed or neutral feedback
الابلكيشن بقا سيء جدا بعد ما كنت معتمدة عليه وبطلب كتير مؤخرا بقا سخيف والاوردرات بتتلغي ومش بتيجي وحاجة اخر قرف يعني واصلا هلغي الاكونت وأبطل اتعامل معاهم بعد ما كنت مش بطلب غير منهم,1,2026-05-08,13.56.0,Negative,Other,,"User dissatisfied, mentions other"
كل شب موجود فيه وسريع,5,2026-05-08,13.54.0,Positive,Other,,User satisfied with the service
mobile verification error 😡🤬,1,2026-05-08,,Negative,App Crashes / Bugs,Pricing / Promotions,User experiencing app crashes and technical issues
filthy service and unreal prices,1,2026-05-08,13.46.0,Negative,Customer Support,,User unhappy with unresponsive customer support
its incredibly fast and reliable,5,2026-05-07,13.52.0,Positive,Delivery Speed,Pricing / Promotions,User impressed with fast delivery service
customer service is very bad,1,2026-05-07,13.55.0,Negative,Customer Support,,User unhappy with unresponsive customer support
اسواء خدمة تم ايقاف الارسال الى جاردينيا سيتى مدينة نصر,1,2026-05-07,13.55.0,Negative,Other,,"User dissatisfied, mentions other"
best app best delivery,5,2026-05-07,12.48.0,Positive,App UX / Navigation,Other,User satisfied with the service
"I ordered kensas friend chicken was wonderfull, delivered on time nice quality with customer service called mahmod abdel hakim checked everything and all is good thank you!!!",5,2026-05-07,13.56.0,Positive,Delivery ETA Accuracy,,User satisfied with the service
ابلكيشن سيئ جدا جدا لا اوصى به لا يصل الى اماكن كثيرة و امكانيات ضعيفة فى التوصيل و خدمة العملاء لا اوصى به,1,2026-05-07,8.5.4,Negative,Other,Payment Issues,"User dissatisfied, mentions other"
Best App always gives good offers and vouchers,5,2026-05-07,13.55.0,Positive,App UX / Navigation,Delivery ETA Accuracy,User satisfied with the service
خدمة جميله وسريعه,5,2026-05-07,13.54.0,Positive,Other,App UX / Navigation,User satisfied with the service
اسوء خدمة . تم ايقاف الخدمه لكومباوند جاردينيا بدلا من تحسينها,1,2026-05-07,13.56.0,Negative,Other,,"User dissatisfied, mentions other"
very good 👍,5,2026-05-07,13.54.0,Positive,General Praise,Restaurant Selection,User highly satisfied with overall app experience
amazing app so helpful,5,2026-05-07,13.55.0,Positive,App UX / Navigation,,User satisfied with the service
"I'm trying to place my order from 11:30 am until now, which is 2:20 pm. Each time I try it says the same message "" There are a lot of orders on the go right now. Please check back in 30 mins. Please solve this issue.",1,2026-05-07,13.55.0,Negative,Delivery ETA Accuracy,,User reports delivery arrived much later than estimated
"unable to longin , some misdiscriptiob error",5,2026-05-07,13.55.0,Positive,Delivery Speed,,User impressed with fast delivery service
so nice app,5,2026-05-07,13.55.0,Positive,App UX / Navigation,,User satisfied with the service
Masha Allah Good service,5,2026-05-07,13.55.0,Positive,Customer Support,Restaurant Selection,User satisfied with the service
خدمه عملاء سيئه للغايه حصلت معايا مشكله اني غيرت الرقم علي الابلكيشن و عملت أوردر و الدليفري عمل يرن ومفيش رد لان سستم الابلكيشن فيه مشكله حتي الناس اللي شغلين فيه بيخبوا الخطأ ده طبعا ساعتها دفعت فيزا و اطالبهم بتعويض يقولوا الغلط من عندك لا انصح نهائي بالدفع فيزا لو هتستعمل الابلكيشن ام انا لا انصح بيه اصلا,1,2026-05-07,,Negative,Other,,"User dissatisfied, mentions other"
good service but please try to makes delivery charges down . for labour. food is not costly but delivery charges is more than,5,2026-05-06,13.40.0,Positive,Order Accuracy,Pricing / Promotions,User satisfied with the service
سواقين طلبات كلهم بيجيبوا الاكل غلط وبياخدوا اكل وحش وانهردة خامس مره يجي الاكل غلط وناقص وبارد واتصل بالسواق مش بيرد عليا تطبيق بقي سيء جدا وهما طريقة التواصل الوحيده بالمطعم ياعني جايين عليينا بخسارة انصكم تمسحوه,1,2026-05-06,13.54.0,Negative,Other,,"User dissatisfied, mentions other"
لمن سويت قاعد دا اطلب وراح اطلب فجأ طلعلي التطبيق خربان وصاير عليه لود وهاي الرسالة تطلعلي صارلها 4 أشهر تطلعلي معذبني التطبيق,1,2026-05-06,,Negative,Other,,"User dissatisfied, mentions other"
fastest way to get food,5,2026-05-06,13.55.0,Positive,Delivery Speed,,User impressed with fast delivery service
thus time maybe may order is be completed,3,2026-05-06,13.55.0,Neutral,Delivery ETA Accuracy,,User left mixed or neutral feedback
i was recommended this app to everyone but its time to change to Noon after the worst experminate this day with unprofessional help center and useless driver it's time to change and uninstall .,1,2026-05-06,13.55.0,Negative,Delivery ETA Accuracy,,User reports delivery arrived much later than estimated
"bad costumers service the agents are rude and liars not recommended, noon and keeta are way better",1,2026-05-06,13.55.0,Negative,Delivery ETA Accuracy,,User reports delivery arrived much later than estimated
مصاريف التوصيل بقت غاليه اووووى لما اطلب حاجه من مكان قريب ياخد ٥١ ج كتير بصراحه,3,2026-05-06,13.54.1,Positive,Other,Payment Issues,User satisfied with the service
تجربه زباله و نظام ازبل بقيتوا بتسرقوا الناس علني يعني ايه ادفع تمن حاجة و متجيش و تقولولي اصل عدى عليها ٢٤ ساعه و الوصول ليكوا مقرف و حاجة اخر سرقه و الagents مستفزين ايه الهبل ده اتعاملت معاكم كتير بس مؤخرا بقيتوا قرف و مش هتكملوا ان شاء الله بسيستم النصب ده محدش يتعامل فيزا مع طلبات حراميه,1,2026-05-06,,Negative,Customer Support,,User unhappy with unresponsive customer support
"I live in Jordan and my Credit Card hacked from Talabat and has been deducted amount from Talabat Egypt and sent request complains from three days ago and no one replied to me until now. I lost trust with Talabat totally and I really wish some to contact me to fix the issue, of course if they can !!!!",1,2026-05-06,13.55.0,Negative,Payment Issues,,User encountered problems with payment processing
Fast Delivery & great service,5,2026-05-06,13.54.0,Positive,Delivery Speed,,User impressed with fast delivery service
"I had one of the worst customer service experiences ever with Talabat. Three weeks ago, I ordered flowers through the app, and they arrived completely ruined, rotten, and unacceptable to even give as a gift. I reported the issue immediately after receiving the order and requested that they collect the damaged flowers. Nobody came to collect them. Talabat then promised me a refund and told me multiple times that the money would be returned within “30 minutes.” It has now been 3 weeks no refund",1,2026-05-06,13.55.0,Negative,Delivery ETA Accuracy,,User reports delivery arrived much later than estimated
Why do i need to log in? And creat an account its just food order.. plus all prices are fake for before and after for example an order that is maximum price is 40.. they are showing it as 70 or 80 and now discounted to 40.. that particular order was always 40 there is no discount what so ever.. plus delivery charges are too high,1,2026-05-06,13.54.1,Negative,Order Accuracy,,User received wrong or missing items in order
talabat overprices the food items in restaurants when their prices in the restaurants are much cheaper and then also charge u a service for using the app. most advertised discounts dont work and their restaurant discounts arent worth it. their best service is the deliveries. are done fast and the delivery men are mostly nice hardworking people. talabat mart is mostly good no complaints.,3,2026-05-06,13.54.0,Positive,Delivery Speed,,User impressed with fast delivery service
delay in delivery. the time given for delivery is not accurate. Keep stalling....help centre doesn't help!!! very badd experience,1,2026-05-06,13.54.0,Neutral,Delivery Speed,,User left mixed or neutral feedback
To much ads and stupid and ugly music in YouTube...stop it,1,2026-05-06,,Negative,Other,,"User dissatisfied, mentions other"
اشتركت ف برو بتاريخ٥مايو٢٠٢٦ويومها طلبت٣اوردر٢من طلبات مارت و١من مزارع الاصدقاء اوردر طلبات مارت كان ب٥٣٩،كان فيه بينت باتر اورو ب٩٥، الايتم وصل مفتوح ومدلوق ف الكيس ومغرق ايتم تاني وبوظه، كلمت خدمة العملاء وعملت مرتجع وبعتوا الديلفري اخد الايتم، قعدت اتابع لمدة١٢ساعة عشان فلوسي ترجع وف الاخر بعتولي قالولي مش هينفع نرجع الفلوس عشان في اكتفتي غريب في تسجيل الاكونت!حطولى فاوتشر ب١٠٠اعتذار بس بشروط اني اصرف ع الاقل٢٠٠جنيه عشان اعرف اصرف الفاوتشر، وطبعا ال٢٠٠غير شامل التوصيل والخدمةاللي هي مش موجودة,1,2026-05-06,12.99.0,Negative,Other,,"User dissatisfied, mentions other"
"I already paid for my food, but they said they keep out side the door, whe if i check there is nothing, then i complaint to the customer care i will explain what happened, but the acting like they don't care about that, no responsibility, bad manners from the customer care",1,2026-05-05,13.55.0,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
no support for the customer and also the app has a lot of issues this days and with the delivery. no support in the refund process and the drivers are not professional,1,2026-05-05,13.55.0,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
this app is good and fast,5,2026-05-05,13.54.0,Positive,Delivery Speed,,User impressed with fast delivery service
order missing everytime,1,2026-05-05,13.54.0,Negative,Delivery ETA Accuracy,App Crashes / Bugs,User reports delivery arrived much later than estimated
works as intended. nice 👍🏾,5,2026-05-05,13.55.0,Positive,Other,General Praise,User satisfied with the service
"when you subscribed the talabat pro, it will show different price than what they were suggested, kind of scam",1,2026-05-05,13.54.0,Negative,Pricing / Promotions,,User dissatisfied with pricing or promo codes not working
YES IM A BIG BACK I LOVE TALABAT,5,2026-05-05,13.54.0,Positive,General Praise,,User highly satisfied with overall app experience
"Always showing the vouchers and after that can't applicable, customer service agent will suggest you to make first order without voucher and after that nothing different. Super hard to reach out to support, even pro subscription still the same. Give referral vouchers but just showing, can't use at all and nowhere to ask for help about the issue. If really prioritize the customer happiness, where's the way to reach out to the customer service for ask for help. Very very bad.",1,2026-05-05,13.54.1,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
تطبيق لا يحترم الزبائن و لايوجد اي حس بالمسؤولية,1,2026-05-05,13.54.0,Negative,Other,,"User dissatisfied, mentions other"
تطبيقات جيدة، خمس نجوم,5,2026-05-04,13.54.0,Positive,Other,,User satisfied with the service
"​I love using Talabat, but adding these features would make it perfect: ​Local Payments for Pro: Please support FastPay, FIB, AsiaCell, or Korek for Pro subscriptions. It’s much needed here! ​Wallet Top-up: Let us manually add funds to our Talabat Wallet for easier ordering. ​Dark Mode: A Dark Mode option would be a great addition for a better UI. ​Hope to see these updates soon!",3,2026-05-04,,Positive,Delivery Speed,,User impressed with fast delivery service
Actually its not good. Its buggy and drivers take soooooo long to arrive that the food is already cold im disappointed.,3,2026-05-04,13.55.0,Positive,Delivery Speed,App UX / Navigation,User impressed with fast delivery service
ابليكيشن سئ التوصيل بطئ بيغلي فوق تمن الحاجة مرة ونص خدمه سيئة مش هتتكرر تم حذف الابليكيشن,1,2026-05-04,13.54.1,Negative,Other,,"User dissatisfied, mentions other"
الحمد لله دايما الحاجات متوفرة و بتوصل فى وقت هايل,5,2026-05-04,13.54.0,Positive,Other,Delivery ETA Accuracy,User satisfied with the service
Waiting for my order for 3 hours and half and at last nothing delivered then nothing done from their side saying that it is all they can do to cancel my oder and giving me a voucher with 15 aed !! (note: I am a pro user) I was obsessed with talabat and but now I really do not recommend it to anyone ..,1,2026-05-04,13.54.0,Negative,Delivery Speed,App UX / Navigation,User frustrated with slow delivery times
i like it,5,2026-05-04,13.54.0,Positive,Other,,User satisfied with the service
very good apps,5,2026-05-04,13.35.0,Positive,App UX / Navigation,Delivery Speed,User satisfied with the service
"This service has become unacceptable. Charging extra fees for faster delivery feels like gambling, especially when I'm already paying a monthly subscription. The quality has noticeably declined in my recent orders. Now I'm forced to wait longer without any clear reason. Riders pick up orders within 30 minutes, yet deliveries take another 40 minutes. The experience has gone from reliable to frustrating, and it no longer feels worth the subscription.",1,2026-05-04,13.54.1,Negative,Delivery Speed,,User frustrated with slow delivery times
"You are blocking my IME number, then why are you giving me an adds? First unblock me.",1,2026-05-04,,Negative,Other,,"User dissatisfied, mentions other"
there postpaid payment extraordinary,5,2026-05-04,,Positive,Payment Issues,,User satisfied with the service
تحفه تحفه تحفة والخدمه سريعة جدا جدا,5,2026-05-04,13.54.1,Positive,Other,Payment Issues,User satisfied with the service
البرنامج بعد ما كان افضل برنامج بستعمله و بطلب من عليه دايما بقي عليه مشكله و مش عارف اطلب نهائي حتي مهما غيرت حساباتي ارجوا حل المشكله مع العلم اني عل نظام الPro و برضوا مفيش حل و كلمت كذا مره خدمه العملاء و بدون اي نتيجه,1,2026-05-04,13.54.1,Negative,Other,General Praise,"User dissatisfied, mentions other"
طلبت من ماكدونالدز اوردر الساعة ٩ونص لغاية الساعة ١٢ مفيش حاجة وصلت وكل ما اكلم خدمة العملا يقولولي اتواصلنا مع الفرع الاوردر بيجهز بيردوا برسايل كوبي بست وفي الاخر قالولي الاوردر مش ظاهر في المطعم في السيستم طيب ازاي كنتوا بتتواصلوا مع المطعم يقولكم بيجهز وفي الاخر مش ظاهر انتم كنتوا بترصوا رسايل متكررة عشان تنهوا المحادثة,1,2026-05-04,13.54.0,Negative,Other,,"User dissatisfied, mentions other"
very very bad service.. Waite my 2 hours and very disappointed.. bad riders and executives.... they don't know how to handle customer,1,2026-05-04,,Negative,Delivery Speed,Delivery ETA Accuracy,User frustrated with slow delivery times
دعم فني خلال ٢٤ ساعة ازاي ابقى طالب غدا مثلا وعندي مشكلة فيه محتاج ترجعه أو لغيره وانتظر ٢٤ ساعة والدليفري يقول مالوش دعوة والمطعم يقول ماليش دعوة امال مين اللي له دعوة,1,2026-05-04,13.33.0,Negative,Other,,"User dissatisfied, mentions other"
تجربة سيئة جدًا مع تطبيق طلبات. طلبت أوردر ودافعة فيزا، ووصلني طلب غلط تمامًا. كلمت خدمة العملاء أكتر من 90 مرة، وكل مرة يقولوا هنبعت مندوب يستلم الطلب الغلط عشان يرجعوا الفلوس. استنيت يومين كاملين ومحدش جه، ولا اتبعتلي الطلب الصح ولا رجعوا فلوسي. إهمال تام وعدم احترام للعميل. تجربة غير مقبولة ومش هرشح التطبيق لحد.,1,2026-05-03,13.54.0,Negative,Other,,"User dissatisfied, mentions other"
بيتأخر وبيكذبوا على عميل واسلوبهم وحش معظمهم وساعات الاكل بيجى منعكش,1,2026-05-03,13.54.1,Negative,Other,,"User dissatisfied, mentions other"
Very nice promotion for PinkBerry,5,2026-05-03,13.54.0,Neutral,Pricing / Promotions,Restaurant Selection,User left mixed or neutral feedback
my order didn't place when I want to checkout and I sent for help system but I did not receive any response,1,2026-05-03,,Negative,Order Accuracy,,User received wrong or missing items in order
هو زين بس يحتاج توصيل لمناطق اكثر من العراق,3,2026-05-03,,Neutral,Other,,User left general feedback without strong sentiment
"Generally it's ok app, don't take yearly membership....before restaurants lead time was 20 to 30 mins most of the time, once you become member and pay your order lead time will be 50 to 70 mins always...even at non busy time..... really bad experience...",2,2026-05-03,13.54.1,Neutral,Delivery ETA Accuracy,Restaurant Selection,User left mixed or neutral feedback
Talabat EG is worst food ordering app and scaming people they add 60+ EGP on the price of each Item on the menu and they add 60+ EGP for delivery I ordered a shawerma order from the restaurant directly with no offers for 665 EGP and I checked exactly the same order on Talabat it was 820EGP with offers!! why should I pay 25% More for nothing more and they should mention that these prices are not matching the restaurant Menu prices so poeple knows they are paying more this needs to be escalated,1,2026-05-03,13.54.1,Negative,Delivery Speed,,User frustrated with slow delivery times
worst experience lately between wrong items in orders and missing items and lastly they cancelled my order because an item wasn't available and i wouldn't like to choose another one from the available which was all unsuitable for me,1,2026-05-03,,Negative,Delivery Speed,,User frustrated with slow delivery times
very good app,5,2026-05-03,13.53.0,Neutral,App UX / Navigation,Restaurant Selection,User has mixed feelings about app navigation
The service has become awful. Food handling has never been worse and delivery riders are always late and running around for 15+ minutes. Will be deleting it as soon as I can find a suitable replacement.,1,2026-05-03,13.54.1,Negative,Delivery Speed,Other,User frustrated with slow delivery times
"My go to app for daily essentials, the world would be in a lot of difficulties without it, highly recommended!",5,2026-05-03,13.54.0,Positive,App UX / Navigation,,User satisfied with the service
"Talabut is very reliable app for both food Delivery and grocery shopping. I ve been using it regularly in Muscat and over all the experience has been smooth. For food orders, there are planty of restaurants options, and most delivers arrive on time. The live tracking is accurate, which makes it easy to follow the order. For groceries, Talabut mart is very convenient _Quick delivery and good product availability. It saves a lot of time, especially for urgent items . Customer support is also re.",5,2026-05-03,,Neutral,Delivery Speed,,User left mixed or neutral feedback
it's really good app. I am very satisfied with talabat delivery options and brand quality is everything excellent. I am pleased by there discounts really helpful. thank you for great service talabat team and management.,5,2026-05-03,13.54.0,Positive,App UX / Navigation,,User satisfied with the service
fast and good service,5,2026-05-03,,Positive,Delivery Speed,,User impressed with fast delivery service
"Worst costumer service anyone could imagine , even managers could not help me with my problems .If you ever have a problem with them , do not waste your time just cancel the order and contact the restaurant directly . Or even better , DO NOT DOWNLOAD TALABAT EGYPT",1,2026-05-03,13.53.0,Negative,Delivery ETA Accuracy,,User reports delivery arrived much later than estimated
"They literally steal your money! They would never send your money back to your bank account, they will keep it ""safe"" in your talabat account so that you only use it on talabat, the most horrible customer support, you chat with Mohammed (all alphabets followed) and then for some reason when this Mohammed calls, Mohammed is a woman, all customer support are logged in using each other credentials, you can't track your your issues, no matter what they claim nothing will get resolved! Stay away!",1,2026-05-02,,Negative,Delivery ETA Accuracy,Payment Issues,User reports delivery arrived much later than estimated
today I received an expensive double price & half quantity without any support from customer service.. I will stop dealing with talabat and yesterday I received rotten food!!! without any support also.,1,2026-05-02,13.53.0,Negative,Order Accuracy,Pricing / Promotions,User received wrong or missing items in order
الحاجه فيه اغلي من المطعم وعروض وهميه,1,2026-05-02,13.52.0,Negative,Other,,"User dissatisfied, mentions other"
nice online app,5,2026-05-02,,Positive,App UX / Navigation,,User satisfied with the service
I usually use this app for everything on other accounts.but new phone means new account and for me I don't have postpaid. which I'd like to change.thank you,2,2026-05-02,12.66.0,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
"Very bad experience. My order was marked as delivered but I never received anything. The driver did not answer my calls, and support kept saying it was delivered without proper investigation. I asked for a refund but they refused. I also filed a complaint and still no update after a week. This is completely unacceptable. I will not use this app again.",2,2026-05-02,13.54.1,Negative,Delivery ETA Accuracy,,User reports delivery arrived much later than estimated
very good and fresh,5,2026-05-02,13.54.1,Positive,General Praise,,User highly satisfied with overall app experience
"horrible application that supports scammers, if you get scammed and eventually you will, talabat will tell you aah you should've read better next time you need to focus while ordering as if you are doing your bachelor's final exams, what a convenient answer 👏",1,2026-05-02,13.54.0,Negative,Delivery ETA Accuracy,,User reports delivery arrived much later than estimated
"A day ago i ordered from a resturant who sent me a wrong order plus it was raw and uneatable, although i only got half of what was paid as a refund, no idea why ?and i cant find any way to chat with talabat in app .",1,2026-05-02,,Negative,App UX / Navigation,Restaurant Selection,"User dissatisfied, mentions app ux / navigation"
Just inform people if you take things personally and dont allow them to place order,1,2026-05-02,13.54.0,Negative,Order Accuracy,General Praise,User received wrong or missing items in order
"I paid 11.75 JOD for an item via Talabat, the item was missing, no receipt was provided in the bag, and now I'm being told 'account issues' prevent a refund. This is poor service and scam. I will delete the app and file a complaint to the ministry of industry, trade and supply.",1,2026-05-02,13.54.1,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
"recommended app, Best app ever i uninstalled all delievery apps in my phone because this is my one and only one best delievery app",5,2026-05-02,13.54.0,Positive,App UX / Navigation,,User satisfied with the service
بيضحكو علينا ويحطو خصومات ويقفلو الخدمه لحد ما الكوبون يخلص,1,2026-05-02,13.54.0,Negative,Other,App UX / Navigation,"User dissatisfied, mentions other"
VERY BAD SERVICE. DON'T USE OR YOUR MONEY HAS NO GUARANTEE,1,2026-05-02,,Negative,Customer Support,,User unhappy with unresponsive customer support
نصبوا علي بمصاري,1,2026-05-02,13.52.1,Negative,Other,,"User dissatisfied, mentions other"
Its awesome i love this app and the discounts on talabt mart are awesome i love it!!😍,5,2026-05-02,13.54.0,Positive,App UX / Navigation,,User satisfied with the service
"didn't even inform me that the driver had an issue with his motorcycle, it's late at night, and they didn't bother telling me that my order will be delayed, and said my order will come in 15 minutes but I ended waiting more than an hour.",1,2026-05-01,13.54.0,Negative,Delivery Speed,App UX / Navigation,User frustrated with slow delivery times
one of the worst experiences with talabat always late they keep on extending the time one order takes 2 hrs but they will show 45 mins and the customer care didn't even care about this and simple chatbot give repeated answers and when needed they didn't even show gps and never give discounts also,1,2026-05-01,,Negative,Delivery Speed,Customer Support,User frustrated with slow delivery times
ابلكيشن فاشل ..فوق أنه مغلي كل حاجه اصلا جالي الاوردر في شعر ف الاكل و الصور واضخه بده ...و التعويض أنهم ادوني فاوتشر ب ٤٥ج و الاوردر اصلا معدي ال ٢٥٠ ج !!! تعديل : عملت شكوي لتالت مره علي نفس الاوردر و حد اسمه عاصم كلمني و عملي ريفند بعد م اتنين طنشوني من الدعم. شكرا لعاصم,1,2026-05-01,13.53.0,Negative,Other,,"User dissatisfied, mentions other"
نصابين كنسلوا الاوردر وضيعوا عليا الكوبون والكول سنتر مش بيساعد، ولو مش واخد بالك انت بتدفع ٢٠ ل ٣٠ جنيه زيادة عشان الاسعار عندهم اعلى من الطبيعي + فلوس الخدمة هتلاقي نفسك دافع ١٠٠ جنيه زيادة عن كل اوردر بدل ما تكلم المطعم على طول وتوفرهم,1,2026-05-01,13.50.0,Neutral,Other,,User left general feedback without strong sentiment
"1 star. Extremely disappointed with Talabat. I ordered a meal through the app and received food that tasted spoiled and excessively salty to the point it was inedible. After I complained, the meal was collected back, yet Talabat still refused to issue a refund despite clear concerns about food quality and safety. The customer service was very unhelpful and kept avoiding responsibility between the restaurant and the platform. I escalated the matter to Consumer Rights and Dubai Municipality becaus",1,2026-05-01,13.53.0,Negative,Delivery Speed,,User frustrated with slow delivery times
"Delivery drivers don't know how to read ADDRESS and NOTES for detailed direction and BLAME customers for it. Other countries' delivery apps KNOW how to check and navigate this, and some countries don't even have flat numbers. It's a privilege to even have flat numbers here yet they can't COMPREHEND.",1,2026-05-01,13.37.0,Negative,Delivery ETA Accuracy,General Praise,User reports delivery arrived much later than estimated
طلبت استرداد قيمه الاشتراك بعد إلغاؤه و تم الغاء الاشتراك ولم يتم رد المبلغ علما بأنه تم سحب الاشتراك من البطاقه البنكيه مرتين متتاليتين لاشتراك شهرى وسنوى,1,2026-05-01,13.48.2,Negative,Other,,"User dissatisfied, mentions other"
disgusting customer service,1,2026-05-01,13.53.0,Negative,Customer Support,Restaurant Selection,User unhappy with unresponsive customer support
most of the pictures of the food of the restaurants in the app are a scam,1,2026-05-01,13.53.0,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
خدمة سيئة جدا. الدعم الفني لا يرد. تأخير التوصيل. أنصح بإستخدام تطبيق jahez.,1,2026-05-01,,Negative,Other,Order Accuracy,"User dissatisfied, mentions other"
the most of orders not reach to the customers,1,2026-05-01,,Negative,Order Accuracy,,User received wrong or missing items in order
"I suggest not to order from talabat after 12 am. I ordered twice and both time they took more than 2 hours and every time their customer support tell me that I apologize, I will resolve, your order will be there in 10-15 minutes but still nothing happened. I became very sick of this app. If there is less than 1 star rating, I will give that. From now on, I will never order anything now from talabat.",1,2026-05-01,13.54.0,Negative,Delivery Speed,,User frustrated with slow delivery times
كل ما اعمل اوردر يجي غلط و يجي متأخر جدا عن معاده و من اكتر من محل مختلف كمان برغم من ضريبه مبالغ فيها اصلا و الأسعار ازيد من لل عادي,1,2026-05-01,13.53.0,Negative,Other,,"User dissatisfied, mentions other"
scammers ! they give you vouchers and they disappear once you are in the checkout. their customer service is terrible and they can't fix that or compensate you,1,2026-05-01,13.52.0,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
pls don't download this app. once you order any food not received you. you can loose your time . worst app,1,2026-05-01,13.54.0,Negative,Delivery ETA Accuracy,,User reports delivery arrived much later than estimated
"Please stop annoying u tube Ads, wasting money to be hated, direct these annoying Ads expenses for riders or support restaurants instead to compare to new competition. everybody knows you, which idiot idea was it",2,2026-04-30,,Negative,Customer Support,,User unhappy with unresponsive customer support
I love ❤️ it so exceptional,5,2026-04-30,13.52.0,Positive,General Praise,,User highly satisfied with overall app experience
Hello VERY GOOD APP,1,2026-04-30,,Negative,App UX / Navigation,Delivery Speed,"User dissatisfied, mentions app ux / navigation"
Hello how are you im good bad app,5,2026-04-30,,Positive,App UX / Navigation,,User satisfied with the service
"Very disappointing experience with Talabat, Customer support should solve problems, not just send automatic messages while customers keep waiting... Sadly, the service is no longer as reliable as it used",1,2026-04-30,,Negative,Delivery Speed,,User frustrated with slow delivery times
right now they are my only helpline. they have delivery even in remote areas. being in remote area they are the only delivery heroes who saves us all the time.. thanks for the service and keep it up ❤️,5,2026-04-30,13.53.0,Positive,Delivery ETA Accuracy,,User satisfied with the service
نصابين اشتركت بال pro plan و مش عارف كيف الغي الاشتراك كل شهر بخصموا مني الاشتراك و ما في اي شي واضح لإلغاء الاشتراك,1,2026-04-30,13.53.0,Negative,Other,,"User dissatisfied, mentions other"
minimum order is ridiculously high (already paying subscription). This will be last subscription.,1,2026-04-30,13.52.1,Negative,Order Accuracy,,User received wrong or missing items in order
"this app is the best creative work, you're providing great service to all,,🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡",5,2026-04-30,13.52.0,Positive,App UX / Navigation,,User satisfied with the service
it's good when you're hungry mann,4,2026-04-30,,Positive,General Praise,,User highly satisfied with overall app experience
I order yesterday night in AL BAIK and the delivery driver he don't have change and he said I go to change your money and I'll come back. But until now he don't give it back my change. what is this? to the delivery driver I trust you when you said you will come back,1,2026-04-30,,Negative,Order Accuracy,,User received wrong or missing items in order
