review_text,star_rating,date,app_version,sentiment,primary_theme,secondary_theme,summary
الحقيقة هوا ابليكشن محترم جدا و طلباته بتيجي ف اوقات قياسية بصراحه لكن ليه انا كابليكشن اخد ف وجبة واحدة 50 جنيه فرق اطلب وجبة اسمها ماريا من مطعم بوابة دمشق بالإسماعيلية تلاقيها 180 اروح المطعم تلاقيها 130 الحقيقه انا اتنرفزت جدا لاني زى ماببيقولوا كدا ماكنتش مدى خوانة لكن بعد كدا مابقتش حابب الابليكشن خالص و خارج منه قريب مع العلم بأني برو و طبعا الفرق الخمسين جنيه دا غير مصاريف الطلب و مصاريف التوصيل حاجة صعبة يعني لو هاتجيب تلات اربع وجبات تلاقى نفسك بتدفع الابليكشن 200 جنيه بدون وجه حق,1,2026-05-23,13.59.0,Negative,Other,,"User dissatisfied, mentions other"
نظام ال notifications الجديد ده رخم,4,2026-05-23,13.60.1,Neutral,Other,,User left general feedback without strong sentiment
the best delivery I have ever seen,4,2026-05-23,13.58.0,Positive,General Praise,,User highly satisfied with overall app experience
سرعه في التوصيل و جوده عاليه من المطاعم,5,2026-05-23,13.58.0,Positive,Other,,User satisfied with the service
Need good quality pick up and delivery,1,2026-05-23,13.59.0,Negative,General Praise,Delivery Speed,"User dissatisfied, mentions general praise"
إدارة جديدة تحب تاكل حقوق العملاء ، تطلب واذا ناقص طلبك ما بتقدر تاخذ حقك، بردون عليك نظرا لوجود أحداث معينة في سجل حسابك تمنعنا من اتخاذ المزيد من الإجراءات لا توصيل لطلبك الناقص ولا استرجاع لفلوسك ولما سألت شنو في سجلي ردوا علي بسبب الخصوصية لا نستطيع اخبارك,1,2026-05-23,10.13.0,Negative,Other,,"User dissatisfied, mentions other"
no good discounts,1,2026-05-23,13.58.0,Negative,Pricing / Promotions,,User dissatisfied with pricing or promo codes not working
لا علاقة لهم بالمجال اصلا مشاكل عبيطه تقريبا لازم تحصل مع الاوردرات المتكررة,1,2026-05-23,13.59.0,Negative,Other,,"User dissatisfied, mentions other"
involuntary charged and no way to get support! feels like a scam,1,2026-05-23,13.60.0,Negative,Customer Support,App Crashes / Bugs,User unhappy with unresponsive customer support
they have new trend to cheat customers. PLS DONT REGISTER FOR PRO MEMBERSHIP. they try to fool you with service charges. customer care is pathetic and rude. TM DONE is better app for Delivery in Oman.,1,2026-05-23,13.59.0,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
"This app will no longer work on my Samsung phone. I uninstalled, reinstalled, created new account etc but I keep getting ""something went wrong, try again later"" each time I place an order. Nobody at Talabat seems to know the cause. I stopped using it.",1,2026-05-23,10.22.0,Negative,Delivery Speed,Customer Support,User frustrated with slow delivery times
exceptional and fast for you guys,5,2026-05-23,13.59.0,Positive,Delivery Speed,,User impressed with fast delivery service
مش بيدوني اي vouchers,1,2026-05-23,13.58.1,Negative,Other,,"User dissatisfied, mentions other"
cancelation is near impossible and you cant even call or anything. it auto selects cash payment which 90% of people pay with card so.....,1,2026-05-23,13.59.0,Negative,Customer Support,,User unhappy with unresponsive customer support
nobel prize for poor customer service. unmatchable.,1,2026-05-23,,Neutral,Customer Support,App Crashes / Bugs,User left mixed or neutral feedback
Always put wrong location and one it automatically ordered the food and money was deducted from my card and I am unable to cancel the order. worst app,1,2026-05-23,13.58.0,Negative,Delivery ETA Accuracy,Delivery Speed,User reports delivery arrived much later than estimated
Talabat cancelled 2 orders after 1hr of waiting. They cancelled after the store closed. Switch to keeta if i were you. They will do it at least once a month,1,2026-05-23,13.59.0,Negative,Delivery Speed,Order Accuracy,User frustrated with slow delivery times
اصبح واحد من احسن برامج التوصيل الي جربتهم الصراحه بس الخصومات قليله لكن كطلب دائما حار وسريع ونظيف واتمنى دائما يكون البرنامج نظيف ومستمر بالتفاعل مو خامل,5,2026-05-23,13.58.0,Positive,Other,,User satisfied with the service
ممتاز لكن سعرهم اغلى من سعر المطاعم,4,2026-05-23,,Positive,Other,,User satisfied with the service
"It is not the first time to receive wrong items from talabat orders and in my last order from Dunkin Donuts I ordered 9 pieces, and only one matches my choice and 8 are wrong. when I make a complain on Talabat app help center they replied that I ordered some time ago which is not true I make the complain right after receiving the order, but simply they lied and replied with such an unrespectful way and closed the issue.",1,2026-05-23,13.59.0,Neutral,Delivery ETA Accuracy,,User left mixed or neutral feedback
I've been using this app since 12 years or more Glad 😊,5,2026-05-23,13.59.0,Neutral,App UX / Navigation,,User has mixed feelings about app navigation
"Great order application, quick, fast, great customer service/support, the deals they have there are great too, only one thing is that the delivery is always gonna be maximized and depending on if youre ordering from a nearby resturant or not, it'll become expensive, however this is a great application since it also pays the delivery drivers well.",5,2026-05-23,13.60.0,Positive,Delivery Speed,App UX / Navigation,User impressed with fast delivery service
"i complaint regarding my spilled food. 1st call she offered replacement, i told her i just need compensation then she said the refund will be in an hour. 1 hour passed i follow up, 2nd call she said the complaint was not raise and said she will handle it and in an hour i will receive it. after 2 hours or so, i didn't receive any refund. 3rd call she said there will be no refund not even compensation. i dont mind the refund but the customer service handling complaint should improve.",1,2026-05-23,13.59.0,Negative,Delivery Speed,,User frustrated with slow delivery times
مافي مصداقية ابدا وخدمة عملاء سيئة جدا,1,2026-05-22,13.60.0,Negative,Other,,"User dissatisfied, mentions other"
"It would be great if delivery was always free; it would be even better, increase its popularity, and attract more customers.❤️",5,2026-05-22,13.59.0,Positive,General Praise,Payment Issues,User highly satisfied with overall app experience
الطلب اتاخر ٤ ساعات و مافيش طيار راضي يستلم و استنجدت بالمطعم في الاخر علشان هو الي يوصلي و تعاون معايا و الاكل جه بارد في الاكل و نتوصل من المطعم مش طلبات و بعد ما خلصنا اكل لقيت حد لسة بيكلمني هو في طيار استلم ولا لا ،خدمة في منتهي السوء,1,2026-05-22,13.60.0,Negative,Other,Customer Support,"User dissatisfied, mentions other"
its the best app,5,2026-05-22,13.59.0,Positive,App UX / Navigation,,User satisfied with the service
very good nice,5,2026-05-22,13.59.0,Positive,General Praise,,User highly satisfied with overall app experience
pickup not working,2,2026-05-22,,Negative,Other,,"User dissatisfied, mentions other"
Best food app of all time but one problem it will show free delivery but there is no free delivery 👎,5,2026-05-22,13.60.0,Positive,Delivery ETA Accuracy,,User satisfied with the service
stop trying to trick people into subscribing to talabat pro by forcing the checkout button.,1,2026-05-22,13.60.0,Negative,App UX / Navigation,Payment Issues,"User dissatisfied, mentions app ux / navigation"
Every helpful application,4,2026-05-22,,Positive,App UX / Navigation,,User satisfied with the service
"Food is good, app very bad Offers notification is vibruating a lot, it makes me feel that someone is calling while actually nothing is happening. This is very annoying and not respectful especially at work",1,2026-05-22,13.58.0,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
i like it,5,2026-05-22,13.42.1,Positive,Other,,User satisfied with the service
it takes much longer than estimated time to receive the food.,2,2026-05-22,13.59.0,Negative,Delivery Speed,,User frustrated with slow delivery times
Please note that there is a problem with your payment method and I would like to pay online.,1,2026-05-22,13.59.0,Negative,Payment Issues,,User encountered problems with payment processing
great for deliver food,4,2026-05-22,13.47.0,Positive,Order Accuracy,,User satisfied with the service
Customer satisfaction and priority is top notch,5,2026-05-22,13.60.0,Positive,Other,,User satisfied with the service
رح أعطيهم تقييم قليل لانو اخذوا مني مصاري الاشتراك برو بدون أذني و لحد الان ما رجعوه ......هاي تاني مرة يصير إشي زي هيك انا للأسف رجعت اشتركت ب برو شهري و سحبوا مني سنوي عنجد اي حدا بدوا يستخدم الapp لا تسجل برو ابداااااااااا ....,1,2026-05-22,13.60.0,Negative,App UX / Navigation,App Crashes / Bugs,"User dissatisfied, mentions app ux / navigation"
delivery fee and service fee is too much keeta is the best,1,2026-05-22,13.59.0,Positive,Delivery ETA Accuracy,,User satisfied with the service
Best delivery service in UAE,5,2026-05-22,13.58.0,Positive,Customer Support,,User satisfied with the service
"Too many ads that make you regret to downloading itt . even before you download it, it bother you cause of its adss.",1,2026-05-22,,Negative,App Crashes / Bugs,Restaurant Selection,User experiencing app crashes and technical issues
برنامج سيئ جدا جدا ،،، ليس به اي مصداقية ،،،، بعد ما تطلب و تستني يجيلك رساله ان الدليفري مش عارف يوصل لك ،،، طبعا كدب ، ، احذر,1,2026-05-22,13.59.0,Negative,Other,App Crashes / Bugs,"User dissatisfied, mentions other"
best of the best 👌,5,2026-05-22,13.59.0,Positive,General Praise,,User highly satisfied with overall app experience
l app they owe me 400 egp,1,2026-05-21,,Negative,App UX / Navigation,General Praise,"User dissatisfied, mentions app ux / navigation"
I love talabat,5,2026-05-21,,Positive,General Praise,,User highly satisfied with overall app experience
I would give half a star if could. customer service utterly disappointing. they dont know what they are doing. Customer service Nil. complaint resolution is a joke. kept me waiting over an hour for my food where it was promised withing 35mins. when escalated promesd to deliver in 15mins and then Talabat cancels the order without even informing. Pro membership is a scam. you have a pro support team like a bunch of kindergarteners dont know what they are even saying.,1,2026-05-21,13.59.0,Negative,Delivery Speed,,User frustrated with slow delivery times
Very disappointed experience with the customer service. I am uninstalling the app totally,1,2026-05-21,13.59.0,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
Im ordering always here,5,2026-05-21,13.52.0,Positive,Order Accuracy,,User satisfied with the service
تطبيق فاشل الدعم ما منهم فايده اصلا و صار ساعه و نص بس اريد اوثق الرقم عمود اثبت الطلب مديقبل حاولت باكثر من رقم و اكثر من جهاز و اكثر من طريقه كلشي مفاد سيء سيء سيء جدا,1,2026-05-21,13.60.0,Negative,Other,,"User dissatisfied, mentions other"
great job talabat,5,2026-05-21,13.58.0,Positive,General Praise,Delivery ETA Accuracy,User highly satisfied with overall app experience
سيء جدااااا والاسعار مضااعفة وفي ضريبة ورسوم عكل شييي,1,2026-05-21,,Negative,Other,,"User dissatisfied, mentions other"
"Talabat’s service has become very disappointing recently. Orders are constantly delayed, and sometimes they cancel them after more than an hour of waiting without any explanation. Even worse, customer service agents often give misleading information instead of actually solving the problem. Very frustrating experience.",1,2026-05-21,13.60.0,Negative,Delivery Speed,App UX / Navigation,User frustrated with slow delivery times
سعر التوصيل غالي ولا يوجد عروض كتيره ظ,3,2026-05-21,,Neutral,Other,Delivery ETA Accuracy,User left general feedback without strong sentiment
التوصيل جميل وكل حاجه,5,2026-05-21,13.58.0,Positive,Other,,User satisfied with the service
Excellent 👌 For The Service Happy Customer Happy Talabat Service ⭐,5,2026-05-21,13.59.0,Positive,App UX / Navigation,Customer Support,User satisfied with the service
منتجات بايظة و منتهية الصلاحية,1,2026-05-21,13.59.0,Negative,Other,,"User dissatisfied, mentions other"
"barely anything comes, food rarely comes normal heat, drivers are dumb and can barely find me and they do EVERYTHING I tell them not to, I would rate this 0/10 if I could im a pro user too",1,2026-05-21,13.58.0,Negative,App UX / Navigation,,"User dissatisfied, mentions app ux / navigation"
The worst customer support ever!,1,2026-05-21,13.60.0,Negative,Customer Support,,User unhappy with unresponsive customer support
